Id,DisplayName,Slot,Style,Rarity,CanDropFromPool,TokenPrice,UnlockAchievementId,HasSpecialEffect,VisualDescription,Version
SLOT-01-S00-001,破旧账本,Book,Default,Common,false,0,,false,破旧的硬皮本 封面磨损 默认初始,1.0
SLOT-01-S00-002,硬壳商务本,Book,Default,Common,true,50,,false,黑色硬壳商务记事本 简洁大方,1.0
SLOT-01-S00-003,空白之书,Book,Default,Epic,false,0,B-005,true,纯白封面 发光文字浮现 万卷著者奖励,1.0
SLOT-01-S01-001,深渊典籍,Book,Cthulhu,Epic,false,0,D-007,true,深紫色封面 触手纹路 眼球装饰,1.0
SLOT-01-S01-002,肉质皮面书,Book,Cthulhu,Epic,true,0,,true,暗红肉质纹理封面 脉搏跳动效果,1.0
SLOT-01-S01-003,星之碎章,Book,Cthulhu,Legendary,false,0,G-009,true,深空星辰封面 碎裂效果 克苏鲁传说,1.0
SLOT-01-S01-004,蘑菇孢子册,Book,Cthulhu,Rare,true,150,,false,菌类纹理封面 孢子装饰 墨绿色调,1.0
SLOT-01-S02-001,云纹锦册,Book,ChineseClassical,Rare,true,150,,false,云纹锦缎封面 金线装饰 古典优雅,1.0
SLOT-01-S02-002,玉简账录,Book,ChineseClassical,Epic,false,0,B-010,true,玉质竹简造型 发光篆文 百日铸魂,1.0
SLOT-01-S02-003,帝王金册,Book,ChineseClassical,Legendary,false,0,E-013,true,金色龙纹封面 帝王气息 古风传说,1.0
SLOT-01-S02-004,墨客手稿,Book,ChineseClassical,Rare,false,150,,false,宣纸质感 毛笔字迹 水墨风格,1.0
SLOT-01-S03-001,硬壳商务本,Book,Modern,Common,true,50,,false,现代简约风格 灰白配色 几何线条,1.0
SLOT-01-S03-002,收银机卷纸,Book,Modern,Rare,false,0,B-003,false,收银纸卷轴造型 百笔流水成就,1.0
SLOT-01-S03-003,账房先生册,Book,Modern,Rare,false,0,C-013,false,民国风格账簿 精打细算成就,1.0
SLOT-01-S04-001,全息数据板,Book,Futuristic,Rare,false,150,,false,透明全息界面 蓝光数据流,1.0
SLOT-01-S04-002,量子存储器,Book,Futuristic,Epic,false,0,C-005,true,发光量子芯片造型 第一桶金成就,1.0
SLOT-01-S04-003,AI神经册,Book,Futuristic,Legendary,false,0,E-014,true,神经网络纹理 数据脉冲 未来传说,1.0
SLOT-01-S04-004,末日备忘录,Book,Futuristic,Rare,true,150,,false,金属质感 末日风格 赛博朋克,1.0
SLOT-01-S05-001,魔法羊皮卷,Book,Fantasy,Rare,true,150,,false,古旧羊皮纸 魔法符文边框,1.0
SLOT-01-S05-002,精灵银叶册,Book,Fantasy,Epic,false,0,E-004,true,银色叶片装帧 精灵文字 发光,1.0
SLOT-01-S05-003,龙鳞秘录,Book,Fantasy,Legendary,false,0,,true,龙鳞纹理封面 火焰效果 奇幻传说,1.0
SLOT-01-S05-004,精灵树皮本,Book,Fantasy,Common,true,50,,false,树皮质感 绿叶装饰 自然风格,1.0
SLOT-01-LTD-001,位面创世录,Book,Default,Legendary,false,0,G-011,true,创世纪特殊封面 首发限定 金光闪烁,1.0
SLOT-01-LTD-002,镜中账本,Book,Default,Legendary,false,0,G-018,true,镜面反射封面 全成就达成奖励,1.0
SLOT-01-LTD-003,百日铸魂账本,Book,Default,Epic,false,0,B-010,true,铸魂火焰封面 百日连续记账,1.0
SLOT-01-LTD-004,年轮主题账本,Book,Default,Legendary,false,0,B-011,true,年轮木纹封面 365天连续记账,1.0
SLOT-01-LTD-005,半年铁律账本,Book,Default,Rare,false,0,C-018,false,铁质封面 半年不超预算,1.0
SLOT-01-LTD-006,残章博士账本,Book,Default,Epic,false,0,E-007,true,书页飞散封面 全残章收集,1.0
SLOT-01-LTD-007,自由宣言账本,Book,Default,Legendary,false,0,C-012,true,自由之翼封面 财务自由宣言,1.0
SLOT-02-S00-001,素白薄纱,Curtain,Default,Common,false,0,,false,白色薄纱窗帘 简洁素雅 默认初始,1.0
SLOT-02-S01-001,触手垂幔,Curtain,Cthulhu,Epic,true,0,,true,深紫色触手造型垂幔 蠕动效果,1.0
SLOT-02-S02-001,绸缎流苏帘,Curtain,ChineseClassical,Rare,true,150,,false,朱红绸缎 金色流苏 古典华贵,1.0
