Id,DisplayName,Description,Category,CheckTiming,ConditionType,TargetValue,IsHidden,TokenReward,DecorationRewardId,Version
A-001,位面初醒,首次登录游戏,Login,Realtime,TotalLoginDays,1,false,10,,1.0
A-002,归来者,累计登录7天,Login,Realtime,TotalLoginDays,7,false,20,,1.0
A-003,常驻居民,累计登录30天,Login,Realtime,TotalLoginDays,30,false,50,,1.0
A-004,位面支柱,累计登录100天,Login,Realtime,TotalLoginDays,100,false,150,,1.0
A-005,永恒驻守,累计登录365天,Login,Realtime,TotalLoginDays,365,false,500,DEC_LAMP_LTD_ETERNAL,1.0
A-006,晨光仪式,连续登录3天,Login,Realtime,ConsecutiveLoginDays,3,false,20,,1.0
A-007,七日之约,连续登录7天,Login,Realtime,ConsecutiveLoginDays,7,false,50,,1.0
A-008,月之守护,连续登录30天,Login,Realtime,ConsecutiveLoginDays,30,false,150,DEC_CURTAIN_LTD_MOON,1.0
A-009,黎明使者,连续登录100天,Login,Realtime,ConsecutiveLoginDays,100,false,400,DEC_WINDOW_LTD_DAWN,1.0
A-010,深夜启示,23:00后登录,Login,Realtime,LoginAtTimeRange,1,false,20,,1.0
A-011,晨型生物,06:00前登录,Login,Realtime,LoginAtTimeRange,1,false,20,,1.0
A-012,跨年守夜,12月31日23:00后登录,Login,Realtime,LoginOnDate,1,false,80,DEC_AMBIENT_LTD_NEWYEAR,1.0
A-013,二度归来,累计登录2天,Login,Realtime,TotalLoginDays,2,false,10,,1.0
A-014,第五天,累计登录5天,Login,Realtime,TotalLoginDays,5,false,10,,1.0
A-015,半月常客,累计登录15天,Login,Realtime,TotalLoginDays,15,false,30,,1.0
A-016,两月驻守,累计登录60天,Login,Realtime,TotalLoginDays,60,false,80,,1.0
A-017,半年印记,累计登录180天,Login,Realtime,TotalLoginDays,180,false,200,,1.0
A-018,连续五日,连续登录5天,Login,Realtime,ConsecutiveLoginDays,5,false,30,,1.0
A-019,连续半月,连续登录14天,Login,Realtime,ConsecutiveLoginDays,14,false,60,,1.0
A-020,连续两月,连续登录60天,Login,Realtime,ConsecutiveLoginDays,60,false,200,DEC_LAMP_LTD_TWOMONTH,1.0
B-001,最初的记录,完成第1笔记账,Accounting,Realtime,TotalEntryCount,1,false,10,SLOT-01-S00-001,1.0
B-002,初学者之路,累计记账10笔,Accounting,Realtime,TotalEntryCount,10,false,10,,1.0
B-003,百笔流水,累计记账100笔,Accounting,Realtime,TotalEntryCount,100,false,30,,1.0
B-004,千笔史诗,累计记账500笔,Accounting,Realtime,TotalEntryCount,500,false,80,DEC_FURN_LTD_EPIC,1.0
B-005,万卷著者,累计记账1000笔,Accounting,Realtime,TotalEntryCount,1000,false,200,DEC_CARPET_LTD_SCROLL,1.0
B-006,三日不辍,连续记账3天,Accounting,OnSettlement,ConsecutiveAccountingDays,3,false,30,,1.0
B-007,七日契约,连续记账7天,Accounting,OnSettlement,ConsecutiveAccountingDays,7,false,60,DEC_FURN_LTD_7DAY,1.0
B-008,半月守律,连续记账14天,Accounting,OnSettlement,ConsecutiveAccountingDays,14,false,100,,1.0
B-009,月度坚守,连续记账30天,Accounting,OnSettlement,ConsecutiveAccountingDays,30,false,200,DEC_CURTAIN_LTD_MONTHLY,1.0
B-010,百日铸魂,连续记账100天,Accounting,OnSettlement,ConsecutiveAccountingDays,100,false,500,SLOT-01-LTD-003,1.0
B-011,年轮刻记,连续记账365天,Accounting,OnSettlement,ConsecutiveAccountingDays,365,false,1000,SLOT-01-LTD-004,1.0
B-012,全能记录者,同一天使用全部3个模块,Accounting,OnSettlement,UseAllModulesInOneDay,1,false,30,,1.0
B-013,日常矩阵启动,首次使用日常矩阵,Accounting,Realtime,FirstUseModule,1,false,10,,1.0
B-014,月度统计觉醒,首次使用月度统计,Accounting,Realtime,FirstUseModule,1,false,10,,1.0
B-015,平摊中心开启,首次使用年度平摊,Accounting,Realtime,FirstUseModule,1,false,10,,1.0
B-016,早起记账,07:00前完成当日首笔记账,Accounting,Realtime,EntryAtTimeRange,1,false,20,,1.0
B-017,午间盘点,12:00～13:00之间记账,Accounting,Realtime,EntryAtTimeRange,1,false,10,,1.0
B-018,深夜核算,01:00后完成记账,Accounting,Realtime,EntryAtTimeRange,1,false,20,,1.0
B-019,元旦启账,1月1日完成当年首笔记账,Accounting,Realtime,EntryOnDate,1,false,50,DEC_AMBIENT_LTD_NEWYEAR,1.0
B-020,多账户持有者,创建并使用3个以上账户,Accounting,Realtime,CreateMultipleAccounts,3,false,30,,1.0
B-021,三笔起步,累计记账3笔,Accounting,Realtime,TotalEntryCount,3,false,10,,1.0
B-022,二十笔流水,累计记账20笔,Accounting,Realtime,TotalEntryCount,20,false,10,,1.0
B-023,五十笔记录,累计记账50笔,Accounting,Realtime,TotalEntryCount,50,false,20,,1.0
B-024,两百笔史册,累计记账200笔,Accounting,Realtime,TotalEntryCount,200,false,50,,1.0
B-025,千笔里程碑,累计记账1000笔,Accounting,Realtime,TotalEntryCount,1000,false,150,,1.0
B-026,两千笔传说,累计记账2000笔,Accounting,Realtime,TotalEntryCount,2000,false,300,,1.0
B-027,连续两天,连续记账2天,Accounting,OnSettlement,ConsecutiveAccountingDays,2,false,10,,1.0
B-028,连续五天,连续记账5天,Accounting,OnSettlement,ConsecutiveAccountingDays,5,false,40,,1.0
B-029,连续十天,连续记账10天,Accounting,OnSettlement,ConsecutiveAccountingDays,10,false,70,,1.0
B-030,连续二十天,连续记账20天,Accounting,OnSettlement,ConsecutiveAccountingDays,20,false,120,,1.0
B-031,连续六十天,连续记账60天,Accounting,OnSettlement,ConsecutiveAccountingDays,60,false,300,DEC_CURTAIN_LTD_60DAY,1.0
B-032,连续半年,连续记账180天,Accounting,OnSettlement,ConsecutiveAccountingDays,180,false,600,DEC_CARPET_LTD_HALFYEAR,1.0
B-033,今天记了早饭,录入一笔早餐支出,Accounting,Realtime,EntryInCategory,1,false,10,,1.0
B-034,打车了,录入一笔打车支出,Accounting,Realtime,EntryInCategory,1,false,10,,1.0
B-035,网购到了,录入一笔线上购物支出,Accounting,Realtime,EntryInCategory,1,false,10,,1.0
B-036,今天看电影了,录入一笔娱乐类支出,Accounting,Realtime,EntryInCategory,1,false,10,,1.0
B-037,加班费入账,录入一笔兼职/加班收入,Accounting,Realtime,EntryInCategory,1,false,20,,1.0
B-038,备注达人,连续7天每笔记账都填写备注,Accounting,OnSettlement,ConsecutiveNoteDays,7,false,40,,1.0
C-001,预算立法者,首次设置月度预算,Financial,Realtime,SetBudget,1,false,10,,1.0
C-002,量入为出,当月支出不超预算,Financial,OnMonthEnd,BudgetMetMonths,1,false,80,,1.0
C-003,三月铁律,连续3个月不超预算,Financial,OnMonthEnd,BudgetMetMonths,3,false,200,DEC_CARPET_LTD_IRON,1.0
C-004,年度掌控者,全年12个月均不超预算,Financial,OnMonthEnd,BudgetMetMonths,12,false,800,DEC_FURN_LTD_MASTER,1.0
C-005,第一桶金,月净存款首次超过1000元,Financial,OnMonthEnd,MonthlySavings,1000,false,80,DEC_AMBIENT_LTD_GOLD,1.0
C-006,小有积蓄,账户总余额首次超过10000元,Financial,Realtime,TotalSavings,10000,false,150,DEC_WINDOW_LTD_RICH,1.0
C-007,财富积累者,账户总余额首次超过50000元,Financial,Realtime,TotalSavings,50000,false,300,,1.0
C-008,位面巨富,账户总余额首次超过100000元,Financial,Realtime,TotalSavings,100000,false,600,DEC_FURN_LTD_CASTLE,1.0
C-009,被动之光,录入首笔资产收益类收入,Financial,Realtime,FirstPassiveIncome,1,false,20,,1.0
C-010,金鹅饲养员,被动收入占比首次达到10%,Financial,OnMonthEnd,PassiveIncomeRatio,10,false,200,DEC_FURN_LTD_GOOSE,1.0
C-011,半自由之身,被动收入占比首次达到50%,Financial,OnMonthEnd,PassiveIncomeRatio,50,false,400,DEC_CURTAIN_LTD_HALFFREE,1.0
